"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"CST7",0.28842676,1.32273152,0.04682927,0.10209603,0.05528143,0.02006242,3.98006645,0.02091714,0.85753482,0.01073095
"MYL9",0.02350814,0.04022451,0.56878049,0.02714017,0.0299403,4.68747214,0.01146715,0.05309735,0.01245251,0.11046473
"SAMHD1",0.2414105,2.5369504,0.3160976,1.7565074,1.5114827,0.3138654,0.7139642,0.3488871,0.9277121,0.2146026
"TGM2",0.021699819,0.086997194,2.129756098,0.127840747,0.027016326,0.252786447,0.007073197,0.005363368,0.007281553,0.014494183
"MAFB",0.2649186,1.4995323,0.3687805,4.3675742,4.2486598,0.3611235,0.2266638,0.2566372,0.1749683,0.1962302
"STK4",1.0542495,1.5182413,0.3560976,0.8324315,0.8916301,0.2545698,2.4722966,0.4328238,2.3415998,0.4266088
"CEBPB",0.522604,2.0505145,0.942439,4.4547474,3.9808114,1.5657601,1.2146608,0.5124698,1.3164837,0.6075067
"BCAS1",0.00994575,0.013096352,0.017560976,0.027567352,0.039656433,0.048149799,0.025184868,3.783856262,0.036196707,0.175639256
"CTSZ",1.0108499,3.282507,1.0878049,4.2691519,3.7261209,0.7128845,0.5491373,0.434701,0.5609962,0.3738086
"PPDPF",1.3092224,1.5182413,1.5258537,1.6639517,0.9815424,3.5251895,3.4825849,3.0847412,2.8788518,4.0256853
"SAMSN1",0.50180832,1.1131899,0.12390244,2.02864954,2.1285636,0.079358,1.05422784,0.07669617,1.68488814,0.04529021
"APP",0.216094,0.2778297,6.2068293,0.4491371,0.278722,1.8448506,0.1431787,5.4660767,0.2012453,2.359298
"CYYR1",0.0090415913,0.1225444341,1.7775609756,0.0043572364,0.0016142788,0.0142666072,0.0019290537,0.0008045052,0.0021105952,0.0036810622
"CBR1",0.1075949,0.2478952,0.1278049,0.297004,0.2861842,0.6107891,0.1731862,4.2614642,0.2198185,1.3264806
"TTC3",0.8544304,0.756782,1.515122,0.8348522,0.7946211,1.8114133,0.920373,1.6269777,0.9044956,2.8542529
"ITGB2",0.4484629,3.352666,0.3492683,3.5291337,3.7777169,0.2608114,1.7134284,0.1866452,1.1941748,0.1261421
"COL6A1",0.02350814,0.02057998,0.31804878,0.0449963,0.02132066,6.73874276,0.02475619,0.18557254,0.03777965,0.90595215
"COL6A2",0.01627486,0.01496726,1.02536585,0.03186763,0.01081262,5.95452519,0.05283464,0.09224993,0.04653862,0.32649707
"S100B",0.3661844,5.0486436,0.6263415,0.5405821,0.5187317,1.6152474,0.7390419,15.1941539,0.5632123,9.2452508
