"","TCGA-06-0210-01A-01R-1849-01","TCGA-06-0190-01A-01R-1849-01","TCGA-06-0211-01B-01R-1849-01","TCGA-19-4065-02A-11R-2005-01","TCGA-14-1034-02B-01R-2005-01","TCGA-06-0190-02A-01R-2005-01","TCGA-06-0125-01A-01R-1849-01","TCGA-06-0211-02A-02R-2005-01","TCGA-06-0125-02A-11R-2005-01","TCGA-06-0210-02A-01R-2005-01","TCGA-19-4065-01A-01R-2005-01","TCGA-14-1034-01A-01R-1849-01"
"CLP1",670,875,677,469,554,794,644,675,422,611,830,438
"CLPB",1259,799,2182,703,919,604,1771,1158,1592,1636,1246,988
"CLPP",2935,3751,5936,1683,2047,3223,4641,3998,2656,2419,2664,1799
"CLPS",1,0,0,0,0,0,1,0,0,0,0,0
"CLPSL1",0,0,2,0,0,1,0,1,0,1,2,0
"CLPSL2",3,1,5,1,2,1,4,1,0,0,18,0
"CLPTM1",10974,11701,19105,5503,8014,10086,16330,10234,13155,11228,7132,10741
"CLPTM1L",5333,4918,6273,3274,2715,6856,5914,4436,3891,5743,3833,3880
"CLPTM1LP1",0,0,0,0,0,0,0,0,0,0,1,0
"CLPX",2425,1886,3406,1510,2551,1499,3218,2464,2344,2055,2457,2327
"CLRN1",10,2,0,0,1,0,1,1,1,4,20,0
"CLRN1-AS1",6,2,12,6,8,3,7,6,2,6,18,4
"CLRN2",0,0,0,0,0,0,0,0,1,1,0,0
"CLRN3",10,13,5,10,4,21,4,11,5,10,58,9
"CLSPN",146,247,424,400,480,552,442,205,129,391,298,487
"CLSTN1",21954,17764,33396,18131,8978,17137,25854,19783,29183,25975,15882,20186
"CLSTN2",120,1532,553,1722,536,782,2549,740,3247,847,828,1507
"CLSTN2-AS1",2,1,2,1,1,0,0,0,0,2,1,0
"CLSTN3",3188,2503,3351,4610,2388,6984,2456,2608,3120,3416,1378,2442
"CLTA",4589,6609,7981,10759,3882,5506,6220,7176,4390,5412,12356,3614
"CLTB",2717,2598,3110,3506,1617,2730,3104,2782,2481,3273,2525,2897
"CLTC",25927,16999,25868,26891,22684,19393,25930,18169,35329,32671,26045,18843
"CLTCL1",381,475,396,416,173,799,552,241,529,383,440,224
"CLTRN",65,45,28,54,46,15,27,17,41,31,76,39
"CLU",707346,311838,306467,429285,110176,129191,358206,362162,809737,642448,384206,368896
"CLUAP1",1540,1081,1513,1051,1034,853,1444,959,1322,1250,1585,1104
"CLUH",2911,2161,4689,2493,2414,1917,5011,2114,2920,4962,1881,3434
"CLUHP1",0,0,0,0,0,0,0,0,0,0,0,0
"CLUHP11",0,0,0,0,0,0,0,0,0,0,0,1
"CLUHP2",0,0,0,0,0,0,0,0,0,0,0,0
"CLUHP3",386,193,323,109,100,101,275,243,118,228,243,19
"CLUHP4",0,0,0,0,0,0,0,0,0,0,0,0
"CLUHP5",0,0,0,0,0,0,0,0,0,0,0,0
"CLUHP6",1,0,0,0,0,0,1,0,0,1,0,0
"CLUHP8",0,0,0,0,0,0,0,0,0,0,0,0
"CLUL1",25,165,11,91,14,33,13,28,54,54,43,19
"CLVS1",9,241,425,144,27,26,329,176,206,22,425,10
"CLVS2",166,45,365,678,104,1,415,431,375,554,171,9
"CLYBL",607,291,495,238,222,150,415,297,269,508,457,280
"CLYBL-AS1",0,0,0,0,0,0,1,0,0,0,2,0
"CLYBL-AS2",1,1,2,1,0,0,1,0,0,0,1,1
"CMA1",1,2,0,0,1,21,0,2,2,1,1,1
"CMAHP",225,362,154,396,164,627,134,249,115,131,313,156
"CMAS",1852,1189,1396,1986,1346,1259,1898,1498,1862,1368,1871,1288
"CMBL",1248,1921,1549,900,604,1050,1776,1012,1502,1117,1788,853
"CMC1",659,629,870,630,515,593,463,763,316,491,1700,349
"CMC2",1709,1362,1969,1515,1000,1177,2158,1706,771,1176,3661,727
"CMC4",0,0,0,0,0,0,0,0,0,0,1,0
"CMIP",3991,3974,2765,5379,2161,6043,2620,3192,4457,3787,3070,2866
"CMKLR1",1163,1509,670,2518,84,4386,416,1488,556,1778,1087,765
"CMKLR2",32,356,22,207,1,262,12,23,53,18,67,48
"CMPK1",5538,6060,5678,5735,6421,8394,6332,6187,5958,4664,11938,7613
"CMPK2",157,338,272,352,612,341,203,321,378,257,668,265
"CMSS1",1160,1238,2519,1369,1163,1152,1459,1450,899,1078,2356,1109
"CMTM1",67,66,111,35,48,49,159,60,76,81,50,49
"CMTM2",67,43,18,15,3,29,20,30,18,16,14,15
"CMTM3",5551,4147,6390,4425,1595,4294,5572,3972,3380,5136,5064,4021
"CMTM4",1741,997,3737,2202,1261,832,4061,1480,4169,2715,1366,2176
"CMTM5",806,406,272,311,130,33,455,214,363,1064,456,677
"CMTM6",4577,3768,5556,3157,2517,5167,3691,4318,2792,4237,6684,3192
"CMTM7",623,778,307,908,80,1500,225,587,334,865,763,363
"CMTM8",167,152,59,221,35,175,59,108,46,106,112,120
"CMTR1",3215,3150,4794,2946,3091,2509,4516,2628,2958,3573,2686,3128
"CMTR2",1705,1237,1700,654,1098,789,1630,1273,854,1542,1902,890
"CMYA5",520,445,363,453,1134,341,1090,320,708,118,1236,432
"CNBD1",0,0,0,0,0,0,0,0,1,0,0,0
"CNBD2",20,9,35,4,12,3,30,13,13,13,19,8
"CNBP",20523,14979,20093,11760,14281,13837,14392,16682,13475,13765,26970,12393
"CNDP1",1938,965,535,3211,362,97,73,218,1909,3489,639,7
"CNDP2",10729,8717,12453,6206,3231,6086,10981,8951,9568,14734,9687,7318
"CNEP1R1",1639,1145,1478,714,731,931,1231,1290,827,971,2251,892
"CNEP1R1P1",1,0,0,0,2,1,1,0,2,2,2,0
"CNFN",26,19,19,42,5,20,10,15,5,32,18,7
"CNGA1",0,11,2,13,1,6,3,1,7,13,5,2
"CNGA2",2,2,1,0,0,0,1,0,0,0,0,0
"CNGA3",1226,689,7583,153,7155,56,5452,1636,4230,2285,643,2140
"CNGA4",11,4,4,15,8,7,18,5,17,11,12,7
"CNGB1",3,4,3,9,2,3,1,1,16,2,9,4
"CNGB3",4,4,3,6,4,5,5,4,2,2,3,0
"CNIH1",6284,4514,7449,3524,2481,5731,3920,4892,3354,3751,8254,2589
"CNIH2",627,653,3017,930,588,157,1791,1176,986,757,517,1051
"CNIH3",7165,1425,4927,1789,1620,1650,1801,2062,574,2301,6061,718
"CNIH3-AS1",25,2,6,15,21,10,10,30,0,35,79,0
"CNIH3-AS2",174,38,97,78,44,52,52,58,25,25,351,10
"CNIH4",2667,1231,2020,1988,1542,1614,2042,2365,1735,1753,5441,847
"CNKSR1",40,40,21,54,13,29,88,29,30,33,98,8
"CNKSR2",531,313,1030,1114,661,205,1514,530,1223,298,597,521
"CNKSR3",924,994,1748,1285,428,549,1284,753,550,853,909,614
"CNMD",206,81,5,9,0,36,47,6,29,63,99,12
"CNN1",268,1688,110,999,166,1476,534,468,919,355,189,119
"CNN2",3104,6721,1010,5371,2519,9303,1393,2745,911,1626,1670,2777
"CNN2P1",8,12,15,16,2,17,14,9,4,4,20,7
"CNN2P10",0,0,0,0,0,0,0,0,0,0,0,0
"CNN2P11",0,1,0,0,0,1,0,0,0,0,0,0
"CNN2P12",0,0,1,0,0,0,0,0,0,0,0,0
"CNN2P2",0,1,0,1,0,0,0,0,0,0,1,0
"CNN2P3",0,0,2,0,1,0,3,0,0,2,1,0
"CNN2P4",0,10,0,0,2,4,2,0,6,0,0,2
"CNN2P6",1,2,0,1,0,1,1,0,0,0,0,0
"CNN2P7",0,1,0,0,0,1,1,0,0,0,0,0
"CNN2P8",0,1,1,3,3,0,2,0,4,5,1,1
"CNN2P9",2,8,4,6,5,7,3,9,5,7,5,7
"CNN3",63290,38628,59479,20600,47276,41720,47513,51965,47361,36664,68003,70587
"CNN3-DT",962,649,439,809,572,642,403,440,474,682,1140,996
"CNN3P1",0,0,1,2,1,1,0,0,0,1,0,2
"CNNM1",10,35,52,451,46,1,33,29,118,14,36,25
"CNNM2",420,351,392,565,469,436,430,269,648,998,406,385
"CNNM3",1095,1035,1883,446,701,752,1901,938,1070,1508,594,1590
"CNNM3-DT",21,4,22,9,13,2,13,8,10,18,13,14
"CNNM4",1055,801,805,617,488,878,1172,549,833,962,715,497
"CNOT1",5231,4808,6751,3638,3956,5512,7511,3813,6895,6627,5202,4795
"CNOT10",1244,1465,2277,1197,1876,1453,1637,1284,938,1227,1724,1277
"CNOT10-AS1",1,0,0,0,0,0,0,0,0,1,2,0
"CNOT11",1764,1652,2214,1493,1220,1374,2097,1657,1378,1925,2116,1343
"CNOT2",2953,3679,5544,2250,2110,2820,4133,3624,3165,2492,5709,2958
"CNOT3",2480,2070,4181,1616,2718,1991,4817,2315,2759,2714,1899,2097
"CNOT4",1878,1571,2563,1164,1833,1432,2488,1564,2476,2386,2137,2061
"CNOT4P1",0,0,0,0,0,0,0,0,0,0,0,0
"CNOT6",1725,1497,2422,1283,1579,1499,2391,1621,1598,2197,1620,1445
"CNOT6L",1503,1109,1813,1015,901,1889,1924,1285,1734,1654,1488,1377
"CNOT6LP1",4,1,4,3,7,9,7,3,1,11,7,3
"CNOT7",4910,3362,6045,3850,2816,3377,3930,4243,3372,3927,5574,2405
"CNOT7P1",2,0,5,3,5,10,4,3,0,3,8,1
"CNOT7P2",1,2,1,1,1,0,0,2,1,0,0,0
"CNOT8",3143,2678,3518,1985,2919,3881,3284,3029,2334,2735,3743,2184
"CNOT9",2457,2586,3994,2274,3042,3022,3967,2724,1972,2908,3343,2108
"CNP",12800,10683,16127,9191,6316,5594,12935,9933,11637,32877,7352,9227
"CNPPD1",4506,3503,5137,2899,2838,2597,4805,3409,4139,5454,4369,4079
"CNPY1",518,236,5,14,12,15,13,6,7,231,413,71
"CNPY2",1149,978,1442,1219,529,996,1543,1338,753,1005,1788,693
"CNPY2-AS1",69,52,89,35,22,28,130,73,53,48,89,47
"CNPY3",4748,3634,4606,3834,2125,3369,3735,4043,3536,6077,4487,2593
"CNPY4",1558,1713,2067,1330,1163,1559,2500,1509,1829,1561,2155,1945
"CNR1",2319,5948,16556,1189,3552,3856,8112,4445,6204,1161,28235,4254
"CNR2",4,5,3,3,0,3,1,8,1,4,4,2
"CNRIP1",1094,1761,953,1550,334,1336,2726,1072,1837,2586,1799,1489
"CNST",1011,866,1230,1857,1350,1063,1190,908,1331,977,1335,466
"CNTD1",101,47,69,54,65,45,107,65,52,55,67,26
"CNTF",59,79,37,45,29,16,51,27,141,68,57,18
"CNTFR",428,668,2897,577,448,147,691,2257,355,920,1161,1185
"CNTFR-AS1",4,1,4,3,1,1,8,9,0,4,11,1
"CNTLN",411,811,418,433,1864,990,753,296,544,541,608,964
"CNTN1",921,2017,1651,3132,739,589,8546,1268,8776,5228,2820,3291
"CNTN2",2829,2927,1344,3754,498,413,211,1647,3364,9278,1726,158
"CNTN3",9,11,38,176,43,8,18,22,46,13,21,5
"CNTN4",54,79,89,288,42,4,46,65,71,73,131,18
"CNTN4-AS1",0,0,0,0,0,0,0,0,0,0,2,0
"CNTN4-AS2",0,0,0,1,0,0,0,0,0,0,0,0
"CNTN5",84,35,32,178,39,1,9,35,24,40,80,531
"CNTN6",20,35,25,32,6,19,73,37,44,32,28,6
"CNTNAP1",4389,1751,3142,3091,3217,1139,5461,3276,12864,4446,2317,2823
"CNTNAP2",555,124,363,2015,253,18,161,205,815,1021,119,29
"CNTNAP2-AS1",0,0,0,0,0,0,0,0,0,0,0,0
"CNTNAP3",145,579,197,240,76,144,102,203,134,92,646,216
"CNTNAP3B",41,656,357,140,122,361,227,286,195,27,601,63
"CNTNAP3P1",6,5,6,2,2,2,5,2,8,1,6,4
"CNTNAP3P2",15,118,106,40,29,41,30,47,33,8,138,32
"CNTNAP3P5",0,0,0,1,0,0,0,1,0,0,3,0
"CNTNAP4",309,406,210,947,82,24,65,474,493,1286,266,3
"CNTNAP5",4,10,27,33,6,0,48,32,43,35,16,0
"CNTRL",380,619,694,1105,1310,733,1099,446,753,526,1194,711
"CNTROB",1952,1511,1718,1472,1684,1358,2358,1213,1350,2087,1618,1346
"COA1",2436,1924,3901,1986,1959,1426,2875,2820,1570,1801,4045,1582
"COA3",3099,1571,3624,1923,1397,887,2149,2787,1468,2936,2613,1505
"COA4",2564,1492,3180,1342,1605,896,2581,2532,1242,1972,4838,1243
"COA5",2580,1570,3554,1238,1845,967,2612,2484,1420,2004,3337,1611
"COA6",794,704,870,619,471,634,555,855,374,619,1655,305
"COA6-AS1",101,69,115,70,134,37,82,47,27,51,162,43
"COA7",1428,831,1479,934,1014,793,1652,964,1031,1633,1986,1158
"COA8",1359,1116,1751,817,791,947,1037,1462,774,844,1725,622
"COASY",2719,2034,2793,2586,2715,1880,3165,2281,2283,2515,2315,2046
"COBL",1012,2259,3248,1690,1945,360,3720,1872,3836,3308,2352,2267
"COBLL1",290,1173,1393,498,112,461,1093,524,1345,936,743,1019
"COBLP1",0,0,2,0,0,0,0,1,0,1,1,1
"COCH",17,451,87,60,45,326,37,113,25,53,261,13
"COG1",1840,1683,2070,2374,2626,2125,2408,1254,1785,1980,1798,1758
"COG2",1388,1230,2625,922,1422,796,1976,1414,1439,1706,2167,803
"COG3",1782,777,1748,1180,1028,898,1653,1213,1103,1142,1717,466
"COG4",4455,3893,5966,2459,4469,2324,4950,3627,2565,3958,4238,3481
"COG5",2496,1794,3834,1273,2611,1851,3137,2030,2593,2360,2744,1914
"COG6",1311,834,1992,1126,1353,938,1338,1267,1285,1035,2268,629
"COG7",1339,968,1669,915,1192,777,2019,1052,1094,1068,1435,717
"COG8",1450,1094,1870,969,1366,800,1933,1117,1274,1596,1162,1280
